CustomerID,Segment,Priority,Recency,Frequency,Monetary
15581,Growth Potential,P3 - Upsell Opportunity,121,38,7794.59
13564,Growth Potential,P3 - Upsell Opportunity,144,37,17249.55
15768,Growth Potential,P3 - Upsell Opportunity,116,34,15601.09
16553,Growth Potential,P3 - Upsell Opportunity,163,33,16644.01
14952,Growth Potential,P3 - Upsell Opportunity,60,32,17629.35
17848,Growth Potential,P3 - Upsell Opportunity,81,30,3650.9
12843,Growth Potential,P3 - Upsell Opportunity,66,30,6588.41
16928,Growth Potential,P3 - Upsell Opportunity,80,29,4113.23
17085,Growth Potential,P3 - Upsell Opportunity,123,28,7891.41
15827,Growth Potential,P3 - Upsell Opportunity,73,28,3794.07
15260,Growth Potential,P3 - Upsell Opportunity,100,25,9188.23
16919,Growth Potential,P3 - Upsell Opportunity,156,24,5125.91
18260,Growth Potential,P3 - Upsell Opportunity,173,23,9962.11
18008,Growth Potential,P3 - Upsell Opportunity,70,23,19787.13
13552,Growth Potential,P3 - Upsell Opportunity,66,22,6978.92
15874,Growth Potential,P3 - Upsell Opportunity,64,21,11284.76
13082,Growth Potential,P3 - Upsell Opportunity,126,21,7335.75
12980,Growth Potential,P3 - Upsell Opportunity,158,21,16245.78
17969,Growth Potential,P3 - Upsell Opportunity,166,20,2369.94
14344,Growth Potential,P3 - Upsell Opportunity,127,20,3333.7000000000003
12939,Growth Potential,P3 - Upsell Opportunity,64,20,25264.8
13802,Growth Potential,P3 - Upsell Opportunity,139,19,26259.11
16883,Growth Potential,P3 - Upsell Opportunity,187,19,2396.59
13317,Growth Potential,P3 - Upsell Opportunity,66,19,6486.091
13027,Growth Potential,P3 - Upsell Opportunity,114,19,17335.2
12823,Growth Potential,P3 - Upsell Opportunity,75,18,6501.5
17894,Growth Potential,P3 - Upsell Opportunity,72,18,2453.38
17589,Growth Potential,P3 - Upsell Opportunity,60,18,14049.87
17873,Growth Potential,P3 - Upsell Opportunity,80,18,6515.88
16550,Growth Potential,P3 - Upsell Opportunity,109,18,9435.13
13141,Growth Potential,P3 - Upsell Opportunity,85,17,7668.58
18087,Growth Potential,P3 - Upsell Opportunity,98,17,14761.519999999999
12422,Growth Potential,P3 - Upsell Opportunity,96,17,5231.8
16745,Growth Potential,P3 - Upsell Opportunity,87,17,7194.3
16556,Growth Potential,P3 - Upsell Opportunity,67,17,8012.58
15606,Growth Potential,P3 - Upsell Opportunity,61,17,5230.99
15939,Growth Potential,P3 - Upsell Opportunity,90,16,9060.39
14867,Growth Potential,P3 - Upsell Opportunity,186,16,2952.06
18168,Growth Potential,P3 - Upsell Opportunity,176,16,3770.27
15523,Growth Potential,P3 - Upsell Opportunity,84,16,17359.99
14045,Growth Potential,P3 - Upsell Opportunity,109,16,11313.029999999999
13162,Growth Potential,P3 - Upsell Opportunity,122,16,9275.49
14210,Growth Potential,P3 - Upsell Opportunity,106,16,5861.52
17460,Growth Potential,P3 - Upsell Opportunity,94,16,2228.27
15518,Growth Potential,P3 - Upsell Opportunity,64,15,4218.94
13901,Growth Potential,P3 - Upsell Opportunity,72,15,5676.34
16027,Growth Potential,P3 - Upsell Opportunity,92,15,2048.36
15885,Growth Potential,P3 - Upsell Opportunity,93,15,1951.82
16098,Growth Potential,P3 - Upsell Opportunity,88,14,4448.1
17457,Growth Potential,P3 - Upsell Opportunity,127,14,5984.8099999999995
13593,Growth Potential,P3 - Upsell Opportunity,108,14,5523.6900000000005
16395,Growth Potential,P3 - Upsell Opportunity,61,14,3537.85
16266,Growth Potential,P3 - Upsell Opportunity,74,14,1757.95
16709,Growth Potential,P3 - Upsell Opportunity,85,14,9087.460000000001
16735,Growth Potential,P3 - Upsell Opportunity,79,14,6270.56
17931,Growth Potential,P3 - Upsell Opportunity,134,14,3437.29
14461,Growth Potential,P3 - Upsell Opportunity,148,13,6713.5
17905,Growth Potential,P3 - Upsell Opportunity,71,13,2383.52
16316,Growth Potential,P3 - Upsell Opportunity,64,13,5744.91
16668,Growth Potential,P3 - Upsell Opportunity,15,13,862.42
14177,Growth Potential,P3 - Upsell Opportunity,86,13,2229.34
16180,Growth Potential,P3 - Upsell Opportunity,100,13,16249.87
17146,Growth Potential,P3 - Upsell Opportunity,106,13,5860.24
16456,Growth Potential,P3 - Upsell Opportunity,99,13,6862.91
13555,Growth Potential,P3 - Upsell Opportunity,74,13,8999.19
14573,Growth Potential,P3 - Upsell Opportunity,180,13,2621.42
18094,Growth Potential,P3 - Upsell Opportunity,82,13,6391.52
15674,Growth Potential,P3 - Upsell Opportunity,73,13,6948.2300000000005
14101,Growth Potential,P3 - Upsell Opportunity,74,13,9961.93
18116,Growth Potential,P3 - Upsell Opportunity,68,13,2154.3
13037,Growth Potential,P3 - Upsell Opportunity,138,12,3914.9500000000003
13092,Growth Potential,P3 - Upsell Opportunity,71,12,2140.28
17552,Growth Potential,P3 - Upsell Opportunity,60,12,3085.29
14745,Growth Potential,P3 - Upsell Opportunity,113,12,2571.81
15312,Growth Potential,P3 - Upsell Opportunity,75,12,2930.19
18073,Growth Potential,P3 - Upsell Opportunity,114,12,3877.5200000000004
12924,Growth Potential,P3 - Upsell Opportunity,88,12,2469.4
15641,Growth Potential,P3 - Upsell Opportunity,105,12,5345.55
15812,Growth Potential,P3 - Upsell Opportunity,107,12,5201.47
16059,Growth Potential,P3 - Upsell Opportunity,66,12,3217.77
15321,Growth Potential,P3 - Upsell Opportunity,71,12,6709.7300000000005
14462,Growth Potential,P3 - Upsell Opportunity,66,12,2270.01
14692,Growth Potential,P3 - Upsell Opportunity,137,12,1745.09
12643,Growth Potential,P3 - Upsell Opportunity,128,12,8350.42
12637,Growth Potential,P3 - Upsell Opportunity,67,12,8340.31
14970,Growth Potential,P3 - Upsell Opportunity,68,12,4919.35
17819,Growth Potential,P3 - Upsell Opportunity,72,12,6612.5199999999995
14451,Growth Potential,P3 - Upsell Opportunity,60,12,3308.77
17692,Growth Potential,P3 - Upsell Opportunity,127,12,2975.8
16477,Growth Potential,P3 - Upsell Opportunity,64,11,4320.02
17994,Growth Potential,P3 - Upsell Opportunity,122,11,2313.32
18064,Growth Potential,P3 - Upsell Opportunity,133,11,4495.03
14854,Growth Potential,P3 - Upsell Opportunity,78,11,4322.86
16455,Growth Potential,P3 - Upsell Opportunity,64,11,4384.37
13631,Growth Potential,P3 - Upsell Opportunity,100,11,3070.42
16503,Growth Potential,P3 - Upsell Opportunity,107,11,3614.34
17268,Growth Potential,P3 - Upsell Opportunity,108,11,1733.8899999999999
13856,Growth Potential,P3 - Upsell Opportunity,169,11,1142.03
14016,Growth Potential,P3 - Upsell Opportunity,162,11,11403.41
15716,Growth Potential,P3 - Upsell Opportunity,146,11,3056.81
17388,Growth Potential,P3 - Upsell Opportunity,78,11,2691.57
17050,Growth Potential,P3 - Upsell Opportunity,96,11,4691.79
18178,Growth Potential,P3 - Upsell Opportunity,129,11,6103.74
15241,Growth Potential,P3 - Upsell Opportunity,67,11,3050.16
15122,Growth Potential,P3 - Upsell Opportunity,114,11,4497.47
13931,Growth Potential,P3 - Upsell Opportunity,96,11,5257.38
13291,Growth Potential,P3 - Upsell Opportunity,156,11,3320.84
13662,Growth Potential,P3 - Upsell Opportunity,86,11,2250.11
12853,Growth Potential,P3 - Upsell Opportunity,135,11,3907.5
15182,Growth Potential,P3 - Upsell Opportunity,154,11,2998.952
17061,Growth Potential,P3 - Upsell Opportunity,74,11,5232.2300000000005
13929,Growth Potential,P3 - Upsell Opportunity,169,11,3494.1
17742,Growth Potential,P3 - Upsell Opportunity,113,11,2098.48
14915,Growth Potential,P3 - Upsell Opportunity,91,11,1811.25
